요리명,주재료,부재료,조리법 ,상세설명,데이터기준일자
말린 보리굴비찜&녹차물,"말린 부세조기 3마리, 쌀뜨물 1L 이상, 대파 1대, 청주 ½컵, 생강 1톨, 깨 조금, 참기름 조금 ",시원한 녹차물 원하는만큼,"① 요리 시작하기 30분 전 쌀뜨물에 부세를 넣어 불려준다. ② 30분 후 부세를 꺼내 칼을 옆으로 눕혀 꼬리에서 머리 쪽 방향으로 살살 긁어 비늘을 제거해준다. ③ 다음으로 가위를 사용해 보이는 지느러미들(아가미, 등, 꼬리, 배 등)을 다 잘라 제거해준다. ④ 그리고 배를 갈라 안의 내장을 꺼내준다. ⑤ 뼈 사이사이에 박혀 있는 핏덩이는 물로 깨끗하게 씻어준다. ⑥ 대파는 반으로 갈라 4등분 해주고, 생강은 얇게 편썰어준다. ⑦ 찜기에서 수증기가 피어오르면 청주는 안에 부어주고, 대파, 생강은 밑에 깔아준 다음 그 위로 부세를 올리고 뚜껑을 덮어준다. ⑧ 중불에서 5분만 쪄준다. ⑨ 5분 후 뚜껑을 열어 참기름과 깨를 살짝 발라준다. ⑩ 예열된 프라이팬에 참기름을 두르고 반으로 갈라 펼친 찐 부세를 넣은 다음 약중불에서 앞뒤를 노릇노릇하게 구워준다. ⑪ 시원한 녹차물과 함께 먹는다.",부드러운 식감을 원하는 경우 찌기만 해도 된다.,2022-10-30
말차 무스 케이크,"다이제 65g, 버터 30g, 크림치즈무스(생크림 200ml, 설탕 1ts, 크림치즈 200g, 설탕 35g, 플레인요거트 50g, 레몬즙 1/4ts, 젤라틴 5g, 말차가루 4g, 따뜻한물 8g), 말차가루 약간",,"① 다이제를 잘게 부순 뒤, 녹인 버터를 넣고 잘 섞어준다. ② 랩을 깐 무스틀 바닥에 넣고 단단하게 눌러준다. ③ 필링을 만드는 동안 냉장하여 굳혀준다. ④ 크림치즈를 부드럽게 풀고 설탕, 플레인요거트, 레몬즙을 넣고 잘 섞어준다. ⑤ 녹인 젤라틴을 넣고 섞어준다. ⑥ 휘핑한 생크림을 넣고 가볍게 섞어준다. ⑦ 전체 무스 양의 ⅓을 바닥면에 부어 준 뒤 1시간 동안 냉장고에서 굳혀준다. ⑧ 남은 무스에 물에 갠 말차를 넣고 섞어준다. ⑨ 냉장고에서 꺼낸 케이크에 말차 무스를 부어준다. ⑩ 냉장고에서 최소 4시간 이상 굳혀준다.",분량: 4인분 기준 조리시간: 2시간 이상 요리정보: 먹기 전에 케이크 윗면에 말차가루를 뿌려준다.,2022-10-30
명란 오차즈케,"명란 1개, 밥 1인분, 녹차티백 2개, 물 1+½종이컵","김가루 약간, 후리가케 약간","① 명란젓은 수저로 살을 발라준다. ② 볼에 녹차티백을 넣고 뜨거운물을 부어 녹차물을 우려준다. ③ 밥이 든 그릇에 명란젓, 김가루, 후리가케를 올린 후 녹차물을 부어준다.",,2022-10-30
무화과 녹차약식,"찹쌀 500g, 건무화과 100g, 단맛있는와인(화이트&레드) 150cc, 올리고당 1T, 녹차가루 1+⅓T, 맛밤 360g, 대추 15개, 헤이즐넛 10개, 아몬드 10개, 잣 1큰술 ","양념: 소금 6g, 물 25cc, 황설탕 6큰술, 올리고당 3~4큰술, 계피가루 ½작은술, 참기름 2큰술, 식용유 1큰술","① 찹쌀은 9시간 정도 불려 체에 밭쳐 물기를 빼놓는다.(전날 준비해둔다.)  ② 맛밤은 작은칼을 이용해 반으로 갈라 준비해준다. ③ 대추는 돌려깎기해서 3등분 해주고 잣과 아몬드 헤이즐넛은 통으로 준비해준다. ④ 무화과는 분량의 화이트 와인을 넣고 은근한 불에서 졸여준다. 거의 수분기가 없도록 은근한 불에서 다 졸여지면 불을 끄고 식혀준다. ⑤ 마지막 윤기를 주기 위해 살짝 올리고당을 첨가해준다. ⑥ 전날 9시간 정도 불린 찹쌀은 체에 밭쳐 물을 뺀 다음 김이 오른 찜기에 쪄준다. (20분) ⑦ 1차 소금물주기를 해준다. (소금물 양의 절반) ⑧ 10분 경과 후 2차 나머지 소금물 양을 준다. 그런 다음 10분간 더 쪄준다. ⑨ 볼에 1차로 찐 찰밥을 담고 황설탕, 꿀, 녹차가루, 계피가루, 밤, 대추 견과류 순으로 넣고 고루 섞어준다. ⑩ 1시간 정도 둔 다음 다시 김이 오른 찜기에 올려 20~25분간 쪄준다. ⑪ 다 쪄지면 볼에 쏟아 참기름과 식용유를 넣고 고루 섞어준다. ⑫ 졸인 무화과를 가위로 반으로 갈라 준비해서 절반은 섞어준다. 남은 절반은 미니컵에 장식으로 골고루 올려준다.",미니컵에 담아 놓았다가 하나씩 꺼내 데워먹거나 얼려 놓았다가 나중에 살짝 쪄서 먹어도 좋다.,2022-10-30
밀크 잼,"우유 1,000ml, 생크림 400ml, 설탕 120g",녹차 1Ts,"① 두껍고 큰 냄비에 우유, 생크림, 설탕을 넣고 섞어 센불에서 끓이며 중간중간 자주 저어준다. 되직해지면서 청이 잡히면 그때부터는 약하게 불을 줄이고 저어주면서 졸여준다. 2컵이 될 때까지 졸여준다. ② 녹차가루를 넣어준다.",3인분 기준 120분 이내,2022-10-30
보리굴비 녹차요리(부세조기찜&구이),"굴비 3마리, 소주 200ml, 쌀뜨물 2.2L","대파 2대, 생강 약간, 나무젓가락 3개, 참기름 약간, 통깨 약간, 녹차물, 밥 원하는만큼","① 쌀뜨물 2.2L+소주 100ml에 굴비를 10~15분 동안 담가준다. ② 칼로 비늘을 쓱쓱 긁어 버려준다. ③ 배를 반으로 갈라, 안에 있는 내장을 꺼내 버려준다. ④ 물에 깨끗하게 씻어준다. (배 쪽을 중점적으로 씻어준다.) ⑤ 생강은 얇게 편썰기, 대파는 7~8cm 길이로, 젓가락으로 쪼개준다. ⑥ 녹차티백은 물에 담가 진하게 우려내준다. ⑦ 찜기에 수증기가 올라오면, 생강, 대파, 소주 100ml와 나무젓가락을 올려준다. ⑧ 위에 굴비를 올려준 다음, 뚜껑을 덮어 중불에서 7분 동안 쪄준다. ⑨ 7분 후 다 쪄진 굴비 위에 참기름과 통깨를 살짝 뿌려준다. ⑩ 굴비가 쪄진 동안 수증기가 배 안에 들어가 물이 차 있을 수 있으니 한 번 기울여서 빼준다. 반으로 갈라준다. ⑪ 예열된 프라이팬에 참기름 ½T을 둘러준 후, 약중불에서 양면을 노릇노릇하게 구워준다. (구울 때는 살 쪽부터 구워준다.) ⑫ 대략 7~8분 정도 구워준다. (굴비 한마리 구울 때 기준) ⑬ 차가운 녹차물에 밥을 말아, 구운 굴비와 함께 먹는다.",,2022-10-30
보리굴비& 녹차밥,"보리굴비, 녹차물","얼음, 밥",① 굴비는 생굴비로 찢어 고추장에 찍어 먹거나 쌀뜨물이나 냉수에 10~30분정도 담갔다 쪄먹으면 된다. ② 별도로 비늘을 벗기지 않아도 되지만 벗겨도 된다. ③ 찔 경우 물이 끓고나서 5~10분간 더 찌면 맛있는 보리굴비 완성 ④ 간이 되어있어 별도로 간을 하지 않아도 된다. ⑤ 얼음동동 띄운 녹차물에 밥을 말아 먹으면 된다.,보리굴비의 특유의 냄새와 기름기를 쌀뜨물로 제거할 수 있다.,2022-10-30
분유 녹차라떼,"가루녹차 ½큰술, 뜨거운물 200ml ","꿀 1큰술, 분유 3큰술","① 컵에 가루녹차와 전지분유 1+½큰술, 꿀을 넣고 뜨거운물 100ml만 넣어준다. (우유로 대체 가능) ② 냄비에 물 100ml와 전지분유 1+½큰술을 넣고 거품기로 저어가면서 끓여준다. ③ 컵에 부어준다.",,2022-10-30
비건 녹차아이스크림,"우유 무첨가 유기농두유 600g, 물엿 50g, 유기농설탕 70g, 녹차가루 10g, 유기농 감자전분 30g",팥배기 적당히,"① 두유(500g), 물엿, 설탕, 녹차가루를 넣어 끓여준다. ② 두유(100g), 전분을 섞어 ①에 천천히 붓고 미음이 될 때까지 저어준다. ③ ②(아이스크림액)를 차갑게 하여 아이스크림 제조기에 넣어 걸쭉하게 되면 여기에 팥배기를 넣어 잘 섞어준다. ④ 다른 그릇에 담아 얼려준다.",,2022-10-30
삼색휘닝시에,"흰자 230g, 소금 2g, 박력분 70g, 아몬드가루 90g, 말차 6g, 설탕 240g, 버터 240g, 옥수수전분 10g, 코코아가루 12g",,"① 버터를 연한 갈색이 되도록 끓여준다. ② 끓여준 버터를 체에 걸러 찬물을 받혀 식혀준다. ③ 흰자는 멍울을 풀어준다.(휘핑X) ④ 설탕과 소금을 넣어 섞어준다. ⑤ 체 친 박력분, 아몬드가루, 옥수수전분을 넣고 섞어준다. ⑥ 식힌 버터를 넣고 잘 섞어준다. ⑦ 세개의 볼에 나누어 담아 첫번째 볼은 아무것도 섞지 않고, 두번째 볼은 체 친 코코아가루를 섞어주고, 세번째 볼은 체 친 말차가루를 섞어준다. ⑧ 짤주머니에 각각 담아준다. ⑨ 버터칠한 휘낭시에팬에 한줄씩 짜준다.(85~90%) ⑩ 180/160℃ 오븐에 13분 정도 구워준다.",분량: 26개 분량 조리시간: 120분 이내,2022-10-30
소보로 단팥 녹차케이크,"무염버터 75g, 설탕 80g, 달걀 2개, 밀가루박력분 120g, 녹차가루 5g, 베이킹파우더 2g, 꿀 15g, 포도씨유 25g, 우유 25g ","[토핑] 팥앙금 150g, 팥배기 40g [소보로(스트로이젤) 양념] 무염버터 30g, 피넛버터 2g, 설탕 25g, 달걀 노른자 1개, 밀가루박력분 70g, 베이킹파우더 ½t","① 먼저 소보로(스트로이젤)를 만들어준다. 실온에 두어 말랑한 무염버터(30g), 피넛버터(2g)를 넣고 거품기로 섞어 크림상태로 만들어준다. ② 그리고 설탕(25g)을 넣고 서걱함이 없을 정도로 섞어준다. 그 다음에 달걀 노른자(1개)를 넣어 섞어주고, 체 친 박력분(70g), 베이킹파우더(½t)를 넣고 주걱으로 대충 섞어준 후, 손으로 비벼 고슬고슬하게 소보로를 만들어 준다. ③ 케이크 반죽을 만들어준다. 실온에 두어 말랑말랑한 무염버터(75g)를 거품기로 부드럽게 풀어준다. 설탕(80g)을 넣고 어느정도 서걱거림이 없어질 정도로 휘핑해준다. ④ 꿀(15g), 포도씨유(25g)를 넣어 휘핑해준다. 포도씨유 대신 식용유도 가능하다. ⑤ 달걀(1개)을 넣고 분리현상이 없도록 충분히 휘핑해준 후 나머지 달걀(1개)도 넣어 충분히 휘핑해준다. ⑥ 체 친 박력분(120g), 녹차가루(5g), 베이킹파우더(2g)를 넣어 주걱으로 대충 섞어준 후 5번 정도만 섞어준다. ⑦ 우유(25g)를 넣고 날가루가 없을 정도로 주걱으로 고루 섞어준다. ⑧ 원형 3호팬에 이형제나 녹인버터를 살짝 발라준 후, 반죽을 올려 평평하게 펴준다. ⑨ 팥앙금을 조금씩 반죽 위에 올려서 평평하게 펴준다. ⑩ 소보로를 반죽 위에 듬뿍 뿌려준 후, 팥배기도 올려준다. 예열된 170℃ 오븐에서 30~35분 정도 구워준다. ⑪ 굽고 나서 팬에서 빵을 바로 꺼내지 않고 10분 정도 식혀준다. ⑫ 10분 후 조심히 팬에서 꺼내 식힘망에서 식혀준다.",6인분 기준 120분 소요,2022-10-30
슈크림 녹차 롤케이크,"박력분 70g, 계란 3개(160g), 설탕 60g, 우유 15g, 꿀 15g, 버터 15g, 녹차가루 2ts, 생크림 ½컵, 설탕 20g","[파트아슈] 물 80g, 버터 32g, 소금 1g, 설탕 2g, 박력분 48g, 계란 2개","① 롤케이크 속에 들어갈 에클레어의슈(파트아슈)를 만들어준다. 버터와 우유와 물을 넣고 가스에 중불로 올려서 버터를 녹여준다. ② 버터/우유물이 부르르 끓으면 박력분을 넣고 주걱으로 잘 섞어가면서 반죽을 만들어준다. 불을 중불로 두고 충분히 볶아준다. ③ 반죽이 약간 식었을 때 달걀에 소금을 넣고 풀어서 조금씩 넣어가면서 주걱으로 계속 섞어준다. 반죽을 짤주머니에 짜기 좋은 농도로 만들어준다. ④ 베이킹팬에 살짝 식용유를 바르고 짜준다. 짤주머니에 원형깍지(402호)를 넣고 반죽을 담아준 후 약 25cm 길이로 베이킹팬에 짜준다. ⑤ 반죽에 물을 스프레이 한 후에 예열한 180℃ 오븐에서 30분간 구워준다. 구운 후 식힘망에 올려서 식혀준다. ⑥ 슈 속에 들어갈 크림을 볼이나 냄비에 달걀 노른자와 설탕을 넣고 거품기로 섞어주다가 박력분을 넣고 섞어서 반죽을 만들어준다. ⑦ 만들어두었던 반죽에 전자레인지나 가스불로 끓인 우유에 바닐라액을 넣고 반죽에 우유를 조금씩 넣어주면서 거품기로 마구 섞어준다. ⑧ 다 섞이면 다시 가스불에 올려서 중불로 가열하고 주걱으로 섞어서 투명한 크림을 만들어준다. 이 크림에 녹차 1ts과 온수 1ts를 섞어준다. ⑨ 크림을 짤주머니에 담아주고 슈 밑면에 구멍을 뚫고 빵빵하게 부풀도록 짜준다. ⑩ 계란은 휘핑기로 휘핑하다가 설탕을 조금씩 넣어가며 휘핑해준다. 뜨거운물에 볼을 올려 중탕으로 휘핑해준다. (휘핑기를 고속으로 약 8분간 휘핑해준다.) 두 번 이상 체 친 박력분을 넣고 주걱으로 가볍게 섞어준다. ⑪ 우유와 버터, 꿀을 함께 냄비에 넣고 끓기 직전까지 데워주고 녹차가루를 넣고 잘 풀어준 후 반죽에 조금씩 흘려 넣으면서 섞어준다. 체에 걸러서 반죽에 넣어준다. ⑫ 유산지를 깔아준 팬에 반죽을 넣고 윗면을 고르게 펴주고 바닥에 탕하고 두세번 쳐서 공기를 빼준다. ⑬ 180℃로 미리 예열한 오븐에 넣고 중간단에서 9~10분간 타지않게 구워준다. 구워져 나온 케이크는 팬에서 분리하고 시트를 제거하지않고 그대로 식힘망에 식혀준다. ⑭ 유산지나 노루지 위에 시트를 올려놓고 생크림을 바르고 만들어둔 슈를 올려놓고 잘라준 딸기도 양쪽으로 길게 올려놓고 유산지를 들어올려 말아준다. ⑮ 돌돌 말아주고 냉장고에 30분 이상 굳혀준다. 롤케이크를 자를 땐 과도를 불에 달구어 잘라준다.",4인분 기준 60분 이내 완성,2022-10-30
씁쓸 달달한 녹차머핀,"버터 70g, 소금 2꼬집, 박력분 100g, 베이킹파우더 3g, 설탕 70g, 달걀 1개, 녹차가루 10g, 우유 50g,",초코칩 30g,"① 버터를 크림화하고 설탕, 소금을 넣고 섞어준다. ② 계란을 넣고 잘 섞어준다. ③ 모든 가루류를 넣고 잘 섞어준다. ④ 우유를 넣고 섞다가 초코칩을 넣어준다. ⑤ 팬닝하고 180℃에서 20분 구워준다.",4인분 기준 120분 이내 조리 가능,2022-10-30
아몬드녹차쿠키,"버터 75g, 박력분 160g, 녹차가루 7g, 슈가파우더 70g, 소금 1g, 계란 20g",슬라이스아몬드 80g,"① 가루들은 미리 2번 정도 체 쳐준다. ② 버터와 계란은 미리 실온에 꺼내둔다. ③ 오븐은 미리 예열해주고, 실온에 둔 버터 75g을 크림화해준다. ④ 크림화한 버터(마요네즈 재질)에 슈가파우더 70g, 소금 1g을 넣어준다. ⑤ 다 섞이면 계란을 2번에 나누어 넣어준다.",4인분기준 60분 이내 완성,2022-10-30
아몬드와 녹차 체크쿠키,"박력분 240g, 슈가파우더 100g, 아몬드가루 20g, 버터 100g, 달걀 1개, 녹차가루 15g",,"① 버터를 말랑한 실온에 뒀다가 마구 풀어준다.(마요네즈 상태) ② 슈가파우더를 넣어 섞어준다. ③ 달걀을 넣고 저어준다. ④ 박력분을 체 쳐서 넣어준다. 스페츌러로 반죽을 가르듯이 섞어준다. 치대지 않고 샵모양(#)으로 섞어준다. ⑤ 날가루가 대강 안보일 때까지만 대충 섞어준다. ⑥ 반죽을 반으로 나눠 한쪽은 아몬드가루 20g을 넣어주고 날가루가 없어질 때쯤 비닐에 넣고 손으로 주물주물 해준다. ⑦ 남은 반쪽 반죽도 비닐에 녹차가루를 넣고 반죽해준다. ⑧ 비닐에 넣은 체로 반죽을 도마와 밀대로 슥슥 밀어준다. (0.5cm 굵기 정도) ⑨ 잠시 냉장고에 넣어서 30분~1시간 정도 휴지시켜준다. ⑩ 비닐을 제거하고 두 반죽을 붙여준다. ⑪ 가장자리는 깔끔하게 정리하고, 반죽을 길쭉하게 잘라준다. ⑫ 기다란 반죽에 흰자를 발라주고, 긴 반죽들을 붙여준다. ⑬ 적당한 크기로 잘라 180℃ 예열한 오븐에 15~20분 정도 구워준다.",분량: 2인분 기준 조리시간: 2시간 이상 요리팁: 슈가파우더는 전분:설탕=1:9로 곱게 갈아서 써도 된다.,2022-10-30
아이스 녹차라떼,"녹차(가루), 우유","얼음, 아이스크림","① 가루녹차와 따뜻한 우유를 1:2 비율 정도 넣어서 섞어준다. 가루가 뭉치치 않고 잘 섞일 수 있게 우유를 살짝 데워준다. ② 컵에 각얼음을 담고 우유를 넣어준다. 우유가 달면 연유를 따로 넣지 않고, 일반 우유로 만드는 경우 연유나 시럽을 넣어준다. ③ 녹차를 넣고 우유와 섞어준다. ④ 바닐라 아이스크림 한 스쿱을 떠서 녹차라떼 위에 올려준다.",,2022-10-30
아이스크림 커피녹차라떼,"녹차아이스크림 110g, 얼음 7개, 흰우유 1컵&1큰술, 물 약간, 믹스커피 1봉지, 카누 다크로스트 아메리카노 미니 2스틱",,① 컵에 물 약간을 담아준다. 컵에 담긴 물은 따뜻하게 데워준다. ② 따뜻하게 데워준 물에 믹스커피 1봉지와 카누 다크로스트 아메리카노 미니 2스틱을 넣어준다. ③ 티스푼으로 골고루 잘 섞어준다. ④ 컵에 얼음 7개를 담아준다. ⑤ 여기에 흰 우유 1컵(200ml 정도)을 넣어준다. ⑥ ③을 담아준다. ⑦ 머그컵과 녹차 아이스크림 110g을 준비해준다. ⑧ 머그컵에 녹차 아이스크림 2큰술을 넣고 여기에 흰 우유 1큰술을 넣고 걸쭉하게 섞어준다. ⑨ 걸쭉하게 만들어준 녹차 아이스크림 우유를 ⑥ 위에 천천히 모두 올려준다. ⑩ 아이스크림 스쿱으로 녹차 아이스크림 한 스쿱을 올려준다.,,2022-10-30
